"             ELEM1","             ELEM2","                 X","                 Y","                 Z","              HEAT","              FLOW","            FLOW_G","            FLOW_L"
"                  ","                  ","               (M)","               (M)","               (M)","               (W)","            (KG/S)","            (KG/S)","            (KG/S)"
"TIME [sec]  0.31560000E+08"
"             A11 0","             A11 1",  0.30002474023E+000,  0.00000000000E+000, -0.22500000000E+001, -0.29968945650E+004, -0.11951384803E-008, -0.12053248179E-008,  0.10186337531E-010
"             A11 1","             A11 2",  0.60634010403E+000,  0.00000000000E+000, -0.22500000000E+001, -0.29873338382E+004, -0.37483638121E-006, -0.99057938127E-003,  0.99020454489E-003
"             A11 2","             A11 3",  0.91920359460E+000,  0.00000000000E+000, -0.22500000000E+001, -0.29901227807E+004, -0.10069550567E-004, -0.11335549817E-002,  0.11234854311E-002
"             A11 3","             A11 4",  0.12383235403E+001,  0.00000000000E+000, -0.22500000000E+001, -0.29931561005E+004, -0.23186469601E-004, -0.11054167789E-002,  0.10822303093E-002
"             A11 4","             A11 5",  0.15642871972E+001,  0.00000000000E+000, -0.22500000000E+001, -0.29965125547E+004, -0.40940378077E-004, -0.10743948708E-002,  0.10334544928E-002
"             A11 5","             A11 6",  0.18972519769E+001,  0.00000000000E+000, -0.22500000000E+001, -0.30020118055E+004, -0.69185994593E-004, -0.25354806190E-003,  0.18436206731E-003
"             A11 6","             A11 7",  0.22372121415E+001,  0.00000000000E+000, -0.22500000000E+001, -0.29642229957E+004, -0.68978245112E-004, -0.28606483147E-007, -0.68949638629E-004
"             A11 7","             A11 8",  0.25841784869E+001,  0.00000000000E+000, -0.22500000000E+001, -0.29196500362E+004, -0.68614270357E-004, -0.33402780712E-007, -0.68580867576E-004
"             A11 8","             A11 9",  0.29381352604E+001,  0.00000000000E+000, -0.22500000000E+001, -0.28683300496E+004, -0.68111943155E-004, -0.40555545790E-007, -0.68071387609E-004
"             A11 9","             A1110",  0.33000978172E+001,  0.00000000000E+000, -0.22500000000E+001, -0.28103264234E+004, -0.67496898689E-004, -0.48367518988E-007, -0.67448531170E-004
"             A1110","             A1111",  0.36695613513E+001,  0.00000000000E+000, -0.22500000000E+001, -0.27457369665E+004, -0.66797204853E-004, -0.56532027450E-007, -0.66740672825E-004
"             A1111","             A1112",  0.40465205195E+001,  0.00000000000E+000, -0.22500000000E+001, -0.26747027376E+004, -0.66038349047E-004, -0.64932838494E-007, -0.65973416208E-004
"             A1112","             A1113",  0.44314755725E+001,  0.00000000000E+000, -0.22500000000E+001, -0.25974143575E+004, -0.65238976321E-004, -0.73509442423E-007, -0.65165466879E-004
"             A1113","             A1114",  0.48249313096E+001,  0.00000000000E+000, -0.22500000000E+001, -0.25141211064E+004, -0.64407813688E-004, -0.82228191266E-007, -0.64325585497E-004
