"             ELEM1","             ELEM2","                 X","                 Y","                 Z","              HEAT","              FLOW","            FLOW_G","            FLOW_L"
"             A1114","             A1115",  0.52263933291E+001,  0.00000000000E+000, -0.22500000000E+001, -0.24251390226E+004, -0.63542010321E-004, -0.91072928884E-007, -0.63450937392E-004
"             A1115","             A1116",  0.56363406814E+001,  0.00000000000E+000, -0.22500000000E+001, -0.23308547705E+004, -0.62626983345E-004, -0.10004183529E-006, -0.62526941510E-004
"             A1116","             A1117",  0.60548045781E+001,  0.00000000000E+000, -0.22500000000E+001, -0.22317278865E+004, -0.61637775641E-004, -0.10914392470E-006, -0.61528631717E-004
"             A1117","             A1118",  0.64817538041E+001,  0.00000000000E+000, -0.22500000000E+001, -0.21282930868E+004, -0.60541746756E-004, -0.11839530760E-006, -0.60423351448E-004
"             A1118","             A1119",  0.69182042191E+001,  0.00000000000E+000, -0.22500000000E+001, -0.20211535086E+004, -0.59302161824E-004, -0.12781510398E-006, -0.59174346720E-004
"             A1119","             A1120",  0.73636606238E+001,  0.00000000000E+000, -0.22500000000E+001, -0.19109794825E+004, -0.57882395929E-004, -0.13742035907E-006, -0.57744975570E-004
"             A1120","             A1121",  0.78186078158E+001,  0.00000000000E+000, -0.22500000000E+001, -0.17985010255E+004, -0.56250169659E-004, -0.14722126291E-006, -0.56102948396E-004
"             A1121","             A1122",  0.82830612480E+001,  0.00000000000E+000, -0.22500000000E+001, -0.16844953841E+004, -0.54381300812E-004, -0.15721696657E-006, -0.54224083845E-004
"             A1122","             A1123",  0.87570105197E+001,  0.00000000000E+000, -0.22500000000E+001, -0.15697772220E+004, -0.52262695054E-004, -0.16739212739E-006, -0.52095302926E-004
"             A1123","             A1124",  0.92409558845E+001,  0.00000000000E+000, -0.22500000000E+001, -0.14551776851E+004, -0.49894096963E-004, -0.17771569239E-006, -0.49716381271E-004
"             A1124","             A1125",  0.97354021424E+001,  0.00000000000E+000, -0.22500000000E+001, -0.13415362076E+004, -0.47288795370E-004, -0.18813979478E-006, -0.47100655575E-004
"             A1125","             A1126",  0.10241334327E+002,  0.00000000000E+000, -0.22500000000E+001, -0.12296926743E+004, -0.44473226493E-004, -0.19860018119E-006, -0.44274626311E-004
"             A1126","             A1127",  0.10757298481E+002,  0.00000000000E+000, -0.22500000000E+001, -0.11204462159E+004, -0.41484702671E-004, -0.20902114445E-006, -0.41275681526E-004
"             A1127","             A1128",  0.11282243374E+002,  0.00000000000E+000, -0.22500000000E+001, -0.10145636259E+004, -0.38369495773E-004, -0.21931678615E-006, -0.38150178987E-004
"             A1128","             A1129",  0.11817189521E+002,  0.00000000000E+000, -0.22500000000E+001, -0.91275471170E+003, -0.35179606480E-004, -0.22939619877E-006, -0.34950210281E-004
"             A1129","             A1130",  0.12367089859E+002,  0.00000000000E+000, -0.22500000000E+001, -0.81564153600E+003, -0.31969015319E-004, -0.23916973116E-006, -0.31729845588E-004
"             A1130","             A1131",  0.12927085447E+002,  0.00000000000E+000, -0.22500000000E+001, -0.72377041820E+003, -0.28791338649E-004, -0.24855095548E-006, -0.28542787694E-004
"             A1131","             A1132",  0.13496983297E+002,  0.00000000000E+000, -0.22500000000E+001, -0.63759430521E+003, -0.25696880875E-004, -0.25746133297E-006, -0.25439419542E-004
"             A1132","             A1133",  0.14081934428E+002,  0.00000000000E+000, -0.22500000000E+001, -0.55745318544E+003, -0.22729988699E-004, -0.26583469609E-006, -0.22464154003E-004
"             A1133","             A1134",  0.14676876920E+002,  0.00000000000E+000, -0.22500000000E+001, -0.48358656901E+003, -0.19928064381E-004, -0.27361778365E-006, -0.19654446597E-004
"             A1134","             A1135",  0.15286773774E+002,  0.00000000000E+000, -0.22500000000E+001, -0.41611833017E+003, -0.17320109104E-004, -0.28077308533E-006, -0.17039336019E-004
"             A1135","             A1136",  0.15911724028E+002,  0.00000000000E+000, -0.22500000000E+001, -0.35506892436E+003, -0.14926764572E-004, -0.28727821493E-006, -0.14639486357E-004
"             A1136","             A1137",  0.16546675610E+002,  0.00000000000E+000, -0.22500000000E+001, -0.30035328712E+003, -0.12760217168E-004, -0.29312632890E-006, -0.12467090839E-004
"             A1137","             A1138",  0.17191618669E+002,  0.00000000000E+000, -0.22500000000E+001, -0.25179595799E+003, -0.10825077462E-004, -0.29832432091E-006, -0.10526753141E-004
"             A1138","             A1139",  0.17851516213E+002,  0.00000000000E+000, -0.22500000000E+001, -0.20913794941E+003, -0.91191413775E-005, -0.30289164582E-006, -0.88162497317E-005
"             A1139","             A1140",  0.18526462278E+002,  0.00000000000E+000, -0.22500000000E+001, -0.17204889187E+003, -0.76344703240E-005, -0.30685843300E-006, -0.73276118910E-005
"             A1140","             A1141",  0.19216357882E+002,  0.00000000000E+000, -0.22500000000E+001, -0.14014413198E+003, -0.63587020338E-005, -0.31026300425E-006, -0.60484390295E-005
"             A1141","             A1142",  0.19921307074E+002,  0.00000000000E+000, -0.22500000000E+001, -0.11299744371E+003, -0.52761580310E-005, -0.31314988388E-006, -0.49630081471E-005
"             A1142","             A1143",  0.20641205821E+002,  0.00000000000E+000, -0.22500000000E+001, -0.90157342633E+002, -0.43690264682E-005, -0.31556748334E-006, -0.40534589849E-005
"             A1143","             A1144",  0.21376153162E+002,  0.00000000000E+000, -0.22500000000E+001, -0.71160272519E+002, -0.36183285015E-005, -0.31756621787E-006, -0.33007622837E-005
"             A1144","             A1145",  0.22121097258E+002,  0.00000000000E+000, -0.22500000000E+001, -0.55545500823E+002, -0.30048528004E-005, -0.31919654408E-006, -0.26856562563E-005
"             A1145","             A1146",  0.22885944016E+002,  0.00000000000E+000, -0.22500000000E+001, -0.42865391776E+002, -0.25098105605E-005, -0.32050759362E-006, -0.21893029669E-005
"             A1146","             A1147",  0.23670891516E+002,  0.00000000000E+000, -0.22500000000E+001, -0.32695414072E+002, -0.21153947340E-005, -0.32154592805E-006, -0.17938488059E-005
"             A1147","             A1148",  0.24465840778E+002,  0.00000000000E+000, -0.22500000000E+001, -0.24641842653E+002, -0.18051774949E-005, -0.32235461738E-006, -0.14828228775E-005
"             A1148","             A1149",  0.25280682862E+002,  0.00000000000E+000, -0.22500000000E+001, -0.18347013612E+002, -0.15643576369E-005, -0.32297263670E-006, -0.12413850002E-005
"             A1149","             A1150",  0.26115630832E+002,  0.00000000000E+000, -0.22500000000E+001, -0.13492131484E+002, -0.13798741001E-005, -0.32343456396E-006, -0.10564395361E-005
"             A1150","             A1151",  0.26960580658E+002,  0.00000000000E+000, -0.22500000000E+001, -0.97986453760E+001, -0.12404390193E-005, -0.32377045746E-006, -0.91666856189E-006
"             A1151","             A1152",  0.27825423417E+002,  0.00000000000E+000, -0.22500000000E+001, -0.70278437490E+001, -0.11364879990E-005, -0.32400593922E-006, -0.81248205981E-006
"             A1152","             A1153",  0.28710372151E+002,  0.00000000000E+000, -0.22500000000E+001, -0.49787939602E+001, -0.10600616263E-005, -0.32416245504E-006, -0.73589917123E-006
"             A1153","             A1154",  0.29615213896E+002,  0.00000000000E+000, -0.22500000000E+001, -0.34855644220E+001, -0.10046598166E-005, -0.32425761346E-006, -0.68040220317E-006
"             A1154","             A1155",  0.30540161757E+002,  0.00000000000E+000, -0.22500000000E+001, -0.24135702995E+001, -0.96506689256E-006, -0.32430560907E-006, -0.64076128349E-006
"             A1155","             A1156",  0.31480059673E+002,  0.00000000000E+000, -0.22500000000E+001, -0.16556866182E+001, -0.93717364204E-006, -0.32431766671E-006, -0.61285597533E-006
"             A1156","             A1157",  0.32439954726E+002,  0.00000000000E+000, -0.22500000000E+001, -0.11282134638E+001, -0.91780028612E-006, -0.32430249513E-006, -0.59349779099E-006
"             A1157","             A1158",  0.33424799960E+002,  0.00000000000E+000, -0.22500000000E+001, -0.76692916204E+000, -0.90452905325E-006, -0.32426671923E-006, -0.58026233402E-006
"             A1158","             A1159",  0.34429746437E+002,  0.00000000000E+000, -0.22500000000E+001, -0.52348484697E+000, -0.89555503901E-006, -0.32421527504E-006, -0.57133976396E-006
"             A1159","             A1160",  0.35449643195E+002,  0.00000000000E+000, -0.22500000000E+001, -0.36215398010E+000, -0.88955493258E-006, -0.32415175866E-006, -0.56540317392E-006
"             A1160","             A1161",  0.36494490248E+002,  0.00000000000E+000, -0.22500000000E+001, -0.25705192753E+000, -0.88557685772E-006, -0.32407873376E-006, -0.56149812395E-006
"             A1161","             A1162",  0.37564381677E+002,  0.00000000000E+000, -0.22500000000E+001, -0.18975649333E+000, -0.88294781509E-006, -0.32399797217E-006, -0.55894984291E-006
"             A1162","             A1163",  0.38654280563E+002,  0.00000000000E+000, -0.22500000000E+001, -0.14742154805E+000, -0.88120130772E-006, -0.32391065948E-006, -0.55729064825E-006
"             A1163","             A1164",  0.39764176889E+002,  0.00000000000E+000, -0.22500000000E+001, -0.12126275430E+000, -0.88002003721E-006, -0.32381755502E-006, -0.55620248219E-006
"             A1164","             A1165",  0.40899018766E+002,  0.00000000000E+000, -0.22500000000E+001, -0.10538973075E+000, -0.87919220084E-006, -0.32371910646E-006, -0.55547309437E-006
"             A1165","             A1166",  0.42058915245E+002,  0.00000000000E+000, -0.22500000000E+001, -0.95932483077E-001, -0.87857918257E-006, -0.32361555711E-006, -0.55496362547E-006
"             A1166","             A1167",  0.43243757365E+002,  0.00000000000E+000, -0.22500000000E+001, -0.90399661267E-001, -0.87809198774E-006, -0.32350700493E-006, -0.55458498281E-006
"             A1167","             A1168",  0.44453654207E+002,  0.00000000000E+000, -0.22500000000E+001, -0.87219262100E-001, -0.87767450540E-006, -0.32339344289E-006, -0.55428106251E-006
"             A1168","             A1169",  0.45688501744E+002,  0.00000000000E+000, -0.22500000000E+001, -0.85420372841E-001, -0.87729201043E-006, -0.32327479258E-006, -0.55401721785E-006
"             A1169","             A1170",  0.46948394090E+002,  0.00000000000E+000, -0.22500000000E+001, -0.84416104915E-001, -0.87692340790E-006, -0.32315094150E-006, -0.55377246640E-006
"             A1170","             A1171",  0.48233237341E+002,  0.00000000000E+000, -0.22500000000E+001, -0.83859085787E-001, -0.87655603524E-006, -0.32302174378E-006, -0.55353429146E-006
"             A1171","             A1172",  0.49548083507E+002,  0.00000000000E+000, -0.22500000000E+001, -0.83548170835E-001, -0.87618233118E-006, -0.32288702243E-006, -0.55329530876E-006
"             A1172","             A1173",  0.50892927639E+002,  0.00000000000E+000, -0.22500000000E+001, -0.83369424749E-001, -0.87579783045E-006, -0.32274660552E-006, -0.55305122494E-006
"             A1173","             A1174",  0.52262826780E+002,  0.00000000000E+000, -0.22500000000E+001, -0.83259751113E-001, -0.87539978215E-006, -0.32260029340E-006, -0.55279948875E-006
"             A1174","             A1175",  0.53657667058E+002,  0.00000000000E+000, -0.22500000000E+001, -0.83184965654E-001, -0.87498646315E-006, -0.32244789065E-006, -0.55253857250E-006
"             A1175","             A1176",  0.55087458541E+002,  0.00000000000E+000, -0.22500000000E+001, -0.83126965971E-001, -0.87455667071E-006, -0.32228918602E-006, -0.55226748468E-006
"             A1176","             A1177",  0.56547352324E+002,  0.00000000000E+000, -0.22500000000E+001, -0.83076357858E-001, -0.87410950698E-006, -0.32212396822E-006, -0.55198553876E-006
"             A1177","             A1178",  0.58032202353E+002,  0.00000000000E+000, -0.22500000000E+001, -0.83028413154E-001, -0.87364419783E-006, -0.32195201207E-006, -0.55169218576E-006
"             A1178","             A1179",  0.59551988775E+002,  0.00000000000E+000, -0.22500000000E+001, -0.82980716605E-001, -0.87316005609E-006, -0.32177309395E-006, -0.55138696214E-006
"             A1179","             A1180",  0.61106835692E+002,  0.00000000000E+000, -0.22500000000E+001, -0.82932101366E-001, -0.87265640302E-006, -0.32158697783E-006, -0.55106942518E-006
"             A1180","             A1181",  0.62691676139E+002,  0.00000000000E+000, -0.22500000000E+001, -0.82882013923E-001, -0.87213256842E-006, -0.32139342329E-006, -0.55073914514E-006
"             A1181","             A1182",  0.64306525165E+002,  0.00000000000E+000, -0.22500000000E+001, -0.82830110889E-001, -0.87158786166E-006, -0.32119217878E-006, -0.55039568288E-006
"             A1182","             A1183",  0.65956315840E+002,  0.00000000000E+000, -0.22500000000E+001, -0.82776232892E-001, -0.87102160621E-006, -0.32098299627E-006, -0.55003860994E-006
"             A1183","             A1184",  0.67646105299E+002,  0.00000000000E+000, -0.22500000000E+001, -0.82720274518E-001, -0.87043310066E-006, -0.32076561779E-006, -0.54966748287E-006
"             A1184","             A1185",  0.69370950624E+002,  0.00000000000E+000, -0.22500000000E+001, -0.82662145774E-001, -0.86982160088E-006, -0.32053976933E-006, -0.54928183154E-006
"             A1185","             A1186",  0.71125794844E+002,  0.00000000000E+000, -0.22500000000E+001, -0.82601786400E-001, -0.86918637724E-006, -0.32030518202E-006, -0.54888119522E-006
"             A1186","             A1187",  0.72920534054E+002,  0.00000000000E+000, -0.22500000000E+001, -0.82539083907E-001, -0.86852665953E-006, -0.32006157206E-006, -0.54846508748E-006
"             A1187","             A1188",  0.74755381334E+002,  0.00000000000E+000, -0.22500000000E+001, -0.82473981517E-001, -0.86784165866E-006, -0.31980864857E-006, -0.54803301009E-006
"             A1188","             A1189",  0.76625170773E+002,  0.00000000000E+000, -0.22500000000E+001, -0.82406423432E-001, -0.86713058443E-006, -0.31954612037E-006, -0.54758446406E-006
"             A1189","             A1190",  0.78534964472E+002,  0.00000000000E+000, -0.22500000000E+001, -0.82336266538E-001, -0.86639259484E-006, -0.31927367717E-006, -0.54711891766E-006
"             A1190","             A1191",  0.80484752543E+002,  0.00000000000E+000, -0.22500000000E+001, -0.82263511498E-001, -0.86562685135E-006, -0.31899100988E-006, -0.54663584146E-006
"             A1191","             A1192",  0.82479503001E+002,  0.00000000000E+000, -0.22500000000E+001, -0.82188023938E-001, -0.86483248419E-006, -0.31869779809E-006, -0.54613468611E-006
"             A1192","             A1193",  0.84514327073E+002,  0.00000000000E+000, -0.22500000000E+001, -0.82109714474E-001, -0.86400859542E-006, -0.31839371094E-006, -0.54561488448E-006
"             A1193","             A1194",  0.86589091689E+002,  0.00000000000E+000, -0.22500000000E+001, -0.82028525098E-001, -0.86315426071E-006, -0.31807840795E-006, -0.54507585276E-006
"             A1194","             A1195",  0.88708863011E+002,  0.00000000000E+000, -0.22500000000E+001, -0.81944355699E-001, -0.86226853058E-006, -0.31775153957E-006, -0.54451699101E-006
"             A1195","             A1196",  0.90873587493E+002,  0.00000000000E+000, -0.22500000000E+001, -0.81857088751E-001, -0.86135043232E-006, -0.31741274800E-006, -0.54393768432E-006
"             A1196","             A1197",  0.93083418696E+002,  0.00000000000E+000, -0.22500000000E+001, -0.81766652047E-001, -0.86039895557E-006, -0.31706166186E-006, -0.54333729371E-006
"             A1197","             A1198",  0.95343100636E+002,  0.00000000000E+000, -0.22500000000E+001, -0.81672970875E-001, -0.85941308638E-006, -0.31669790903E-006, -0.54271517735E-006
"             A1198","             A1199",  0.97647943652E+002,  0.00000000000E+000, -0.22500000000E+001, -0.81575911978E-001, -0.85839174360E-006, -0.31632109299E-006, -0.54207065060E-006
"             A1199","             A12 0",  0.10000556220E+003,  0.00000000000E+000, -0.22500000000E+001, -0.81475388967E-001, -0.85733384788E-006, -0.31593081805E-006, -0.54140302983E-006
"             A12 0","             A12 1",  0.10338774516E+003,  0.00000000000E+000, -0.22500000000E+001, -0.81329217541E-001, -0.85579596134E-006, -0.31536351430E-006, -0.54043244704E-006
"             A12 1","             A12 2",  0.10818762742E+003,  0.00000000000E+000, -0.22500000000E+001, -0.81115445141E-001, -0.85354653157E-006, -0.31453381547E-006, -0.53901271611E-006
"             A12 2","             A12 3",  0.11501670482E+003,  0.00000000000E+000, -0.22500000000E+001, -0.80800300175E-001, -0.85023029564E-006, -0.31331074842E-006, -0.53691954721E-006
"             A12 3","             A12 4",  0.12483987403E+003,  0.00000000000E+000, -0.22500000000E+001, -0.80331156060E-001, -0.84529369093E-006, -0.31149024889E-006, -0.53380344203E-006
"             A12 4","             A12 5",  0.13889812218E+003,  0.00000000000E+000, -0.22500000000E+001, -0.79624675273E-001, -0.83785974013E-006, -0.30874908605E-006, -0.52911065408E-006
"             A12 5","             A12 6",  0.15894452474E+003,  0.00000000000E+000, -0.22500000000E+001, -0.78546631780E-001, -0.82651602003E-006, -0.30456675130E-006, -0.52194926874E-006
"             A12 6","             A12 7",  0.18762529518E+003,  0.00000000000E+000, -0.22500000000E+001, -0.76876284846E-001, -0.80893967222E-006, -0.29808730549E-006, -0.51085236674E-006
"             A12 7","             A12 8",  0.22855941709E+003,  0.00000000000E+000, -0.22500000000E+001, -0.74241139314E-001, -0.78121103818E-006, -0.28786650590E-006, -0.49334453228E-006
"             A12 8","             A12 9",  0.28706835340E+003,  0.00000000000E+000, -0.22500000000E+001, -0.69998454022E-001, -0.73656700260E-006, -0.27141249513E-006, -0.46515450747E-006
"             A12 9","             A1210",  0.37076528576E+003,  0.00000000000E+000, -0.22500000000E+001, -0.63075859704E-001, -0.66372340205E-006, -0.24456772706E-006, -0.41915567499E-006
"             A1210","             A1211",  0.49037188731E+003,  0.00000000000E+000, -0.22500000000E+001, -0.52019023776E-001, -0.54737644894E-006, -0.20169381452E-006, -0.34568263442E-006
"             A1211","             A1212",  0.66126058656E+003,  0.00000000000E+000, -0.22500000000E+001, -0.36060266304E-001, -0.37944861063E-006, -0.13981523527E-006, -0.23963337536E-006
"             A1212","             A1213",  0.90549706755E+003,  0.00000000000E+000, -0.22500000000E+001, -0.17967272951E-001, -0.18906286178E-006, -0.69663313639E-007, -0.11939954814E-006
"             A1213","             A1214",  0.12545376506E+004,  0.00000000000E+000, -0.22500000000E+001, -0.51506408265E-002, -0.54198232992E-007, -0.19970141454E-007, -0.34228091538E-007
"             A1214","             A1215",  0.17534635338E+004,  0.00000000000E+000, -0.22500000000E+001, -0.70844747348E-003, -0.74547452035E-008, -0.27468077252E-008, -0.47079374783E-008
"             A1215","             A1216",  0.24664941350E+004,  0.00000000000E+000, -0.22500000000E+001, -0.43152836743E-004, -0.45405793185E-009, -0.16730411903E-009, -0.28675381283E-009
"             A1216","             A1217",  0.34856246991E+004,  0.00000000000E+000, -0.22500000000E+001, -0.11431673387E-005, -0.12047305988E-010, -0.44390051254E-011, -0.76083008629E-011
"             A1217","             A1218",  0.49426116857E+004,  0.00000000000E+000, -0.22500000000E+001, -0.13334756632E-007, -0.14033082792E-012, -0.51706465530E-013, -0.88624362392E-013
"             A1218","             A1219",  0.70246706738E+004,  0.00000000000E+000, -0.22500000000E+001, -0.68223033666E-010, -0.71794192333E-015, -0.26456265152E-015, -0.45337927181E-015
"             A1219","             A1220",  0.10000000000E+005,  0.00000000000E+000, -0.22500000000E+001,  0.14160127122E-008,  0.11194441949E-014,  0.40943873262E-015,  0.71000546233E-015
"TIME [sec]  0.12620000E+09"
"             A11 0","             A11 1",  0.30002474023E+000,  0.00000000000E+000, -0.22500000000E+001, -0.29987963699E+004, -0.17466329876E-009, -0.17466348743E-009,  0.18867671950E-015
"             A11 1","             A11 2",  0.60634010403E+000,  0.00000000000E+000, -0.22500000000E+001, -0.29950971671E+004, -0.15566019413E-008, -0.15566035186E-008,  0.15772815153E-014
"             A11 2","             A11 3",  0.91920359460E+000,  0.00000000000E+000, -0.22500000000E+001, -0.29887908218E+004, -0.53392059807E-008, -0.53392173341E-008,  0.11353359857E-013
"             A11 3","             A11 4",  0.12383235403E+001,  0.00000000000E+000, -0.22500000000E+001, -0.29798009308E+004, -0.16846857816E-007, -0.16847152747E-007,  0.29493116086E-012
"             A11 4","             A11 5",  0.15642871972E+001,  0.00000000000E+000, -0.22500000000E+001, -0.29681172386E+004, -0.82337871100E-007, -0.14681225474E-003,  0.14672991686E-003
"             A11 5","             A11 6",  0.18972519769E+001,  0.00000000000E+000, -0.22500000000E+001, -0.29701744662E+004, -0.75422099420E-005, -0.11173403795E-002,  0.11097981696E-002
"             A11 6","             A11 7",  0.22372121415E+001,  0.00000000000E+000, -0.22500000000E+001, -0.29733085880E+004, -0.18068131557E-004, -0.11074489228E-002,  0.10893807912E-002
"             A11 7","             A11 8",  0.25841784869E+001,  0.00000000000E+000, -0.22500000000E+001, -0.29755337892E+004, -0.27503303137E-004, -0.10919930989E-002,  0.10644897958E-002
"             A11 8","             A11 9",  0.29381352604E+001,  0.00000000000E+000, -0.22500000000E+001, -0.29775360316E+004, -0.37548190608E-004, -0.10748528417E-002,  0.10373046511E-002
"             A11 9","             A1110",  0.33000978172E+001,  0.00000000000E+000, -0.22500000000E+001, -0.29798745431E+004, -0.49722921613E-004, -0.10542931395E-002,  0.10045702179E-002
"             A1110","             A1111",  0.36695613513E+001,  0.00000000000E+000, -0.22500000000E+001, -0.29827877588E+004, -0.64971615281E-004, -0.37372519715E-003,  0.30875358187E-003
"             A1111","             A1112",  0.40465205195E+001,  0.00000000000E+000, -0.22500000000E+001, -0.29640785889E+004, -0.64787462041E-004, -0.28470454493E-007, -0.64758991587E-004
"             A1112","             A1113",  0.44314755725E+001,  0.00000000000E+000, -0.22500000000E+001, -0.29434616314E+004, -0.64620597223E-004, -0.26868858848E-007, -0.64593728364E-004
"             A1113","             A1114",  0.48249313096E+001,  0.00000000000E+000, -0.22500000000E+001, -0.29208098224E+004, -0.64474913001E-004, -0.29497186681E-007, -0.64445415814E-004
"             A1114","             A1115",  0.52263933291E+001,  0.00000000000E+000, -0.22500000000E+001, -0.28960012444E+004, -0.64352728753E-004, -0.32945753528E-007, -0.64319783000E-004
"             A1115","             A1116",  0.56363406814E+001,  0.00000000000E+000, -0.22500000000E+001, -0.28689211912E+004, -0.64255157960E-004, -0.36737098672E-007, -0.64218420862E-004
"             A1116","             A1117",  0.60548045781E+001,  0.00000000000E+000, -0.22500000000E+001, -0.28394635709E+004, -0.64182211313E-004, -0.40729359703E-007, -0.64141481953E-004
"             A1117","             A1118",  0.64817538041E+001,  0.00000000000E+000, -0.22500000000E+001, -0.28075328305E+004, -0.64132869120E-004, -0.44864814243E-007, -0.64088004306E-004
"             A1118","             A1119",  0.69182042191E+001,  0.00000000000E+000, -0.22500000000E+001, -0.27730436097E+004, -0.64105131364E-004, -0.49115593642E-007, -0.64056015771E-004
"             A1119","             A1120",  0.73636606238E+001,  0.00000000000E+000, -0.22500000000E+001, -0.27359228173E+004, -0.64096042808E-004, -0.53467143278E-007, -0.64042575665E-004
"             A1120","             A1121",  0.78186078158E+001,  0.00000000000E+000, -0.22500000000E+001, -0.26961107492E+004, -0.64101681228E-004, -0.57912025078E-007, -0.64043769202E-004
"             A1121","             A1122",  0.82830612480E+001,  0.00000000000E+000, -0.22500000000E+001, -0.26535610215E+004, -0.64117115401E-004, -0.62447033100E-007, -0.64054668368E-004
"             A1122","             A1123",  0.87570105197E+001,  0.00000000000E+000, -0.22500000000E+001, -0.26082421576E+004, -0.64136331800E-004, -0.67071890715E-007, -0.64069259909E-004
"             A1123","             A1124",  0.92409558845E+001,  0.00000000000E+000, -0.22500000000E+001, -0.25601359182E+004, -0.64152141357E-004, -0.71789122760E-007, -0.64080352234E-004
"             A1124","             A1125",  0.97354021424E+001,  0.00000000000E+000, -0.22500000000E+001, -0.25092405777E+004, -0.64156078470E-004, -0.76603094830E-007, -0.64079475375E-004
"             A1125","             A1126",  0.10241334327E+002,  0.00000000000E+000, -0.22500000000E+001, -0.24555758724E+004, -0.64138316764E-004, -0.81519498761E-007, -0.64056797265E-004
"             A1126","             A1127",  0.10757298481E+002,  0.00000000000E+000, -0.22500000000E+001, -0.23991727016E+004, -0.64087624509E-004, -0.86546483513E-007, -0.64001078026E-004
"             A1127","             A1128",  0.11282243374E+002,  0.00000000000E+000, -0.22500000000E+001, -0.23400856342E+004, -0.63991385848E-004, -0.91693143131E-007, -0.63899692705E-004
"             A1128","             A1129",  0.11817189521E+002,  0.00000000000E+000, -0.22500000000E+001, -0.22783900178E+004, -0.63835712201E-004, -0.96969714407E-007, -0.63738742487E-004
"             A1129","             A1130",  0.12367089859E+002,  0.00000000000E+000, -0.22500000000E+001, -0.22141724738E+004, -0.63605625539E-004, -0.10238821488E-006, -0.63503237324E-004
"             A1130","             A1131",  0.12927085447E+002,  0.00000000000E+000, -0.22500000000E+001, -0.21475459879E+004, -0.63285413779E-004, -0.10796058067E-006, -0.63177453199E-004
"             A1131","             A1132",  0.13496983297E+002,  0.00000000000E+000, -0.22500000000E+001, -0.20786468171E+004, -0.62859072958E-004, -0.11369844083E-006, -0.62745374518E-004
"             A1132","             A1133",  0.14081934428E+002,  0.00000000000E+000, -0.22500000000E+001, -0.20076252792E+004, -0.62310792147E-004, -0.11961331379E-006, -0.62191178833E-004
"             A1133","             A1134",  0.14676876920E+002,  0.00000000000E+000, -0.22500000000E+001, -0.19346590826E+004, -0.61625648679E-004, -0.12571461098E-006, -0.61499934068E-004
"             A1134","             A1135",  0.15286773774E+002,  0.00000000000E+000, -0.22500000000E+001, -0.18599409311E+004, -0.60790174498E-004, -0.13200992518E-006, -0.60658164573E-004
"             A1135","             A1136",  0.15911724028E+002,  0.00000000000E+000, -0.22500000000E+001, -0.17836875692E+004, -0.59793097563E-004, -0.13850336014E-006, -0.59654594203E-004
