"              ELEM","                 X","                 Y","                 Z","              ROCK","              PRES","              TEMP","             SAT_G","             SAT_L","         X_WATER_G","           X_AIR_G","         X_WATER_L","           X_AIR_L","             REL_G","             REL_L","           PCAP_GL","             DEN_G","             DEN_L","               POR"
"                  ","               (M)","               (M)","               (M)","                  ","              (PA)","           (DEC-C)","               (-)","               (-)","               (-)","               (-)","               (-)","               (-)","               (-)","               (-)","              (PA)","         (KG/M**3)","         (KG/M**3)","               (-)"
"TIME [sec]  0.31560000E+08"
"             A1119",  0.71410000000E+001,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10004152594E+006,  0.65110838482E+002,  0.17749810438E+000,  0.82250189562E+000,  0.17354698278E+000,  0.82645301722E+000,  0.99998795868E+000,  0.12041319989E-004,  0.87283187134E+000,  0.12716812866E+000, -0.89478155464E+004,  0.93330863670E+000,  0.98044587355E+003,  0.10000000000E+000
"             A1120",  0.75910000000E+001,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10004139140E+006,  0.62172403804E+002,  0.17812546643E+000,  0.82187453357E+000,  0.14998243006E+000,  0.85001756994E+000,  0.99998745677E+000,  0.12543232891E-004,  0.87347455528E+000,  0.12652544472E+000, -0.89715086391E+004,  0.95354275895E+000,  0.98203623157E+003,  0.10000000000E+000
"             A1121",  0.80510000000E+001,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10004125380E+006,  0.59387301938E+002,  0.17875738553E+000,  0.82124261447E+000,  0.13046888437E+000,  0.86953111563E+000,  0.99998703102E+000,  0.12968981772E-004,  0.87411848288E+000,  0.12588151712E+000, -0.89953810581E+004,  0.97185531361E+000,  0.98349701211E+003,  0.10000000000E+000
"             A1122",  0.85200000000E+001,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10004111331E+006,  0.56744850384E+002,  0.17939489609E+000,  0.82060510391E+000,  0.11417574049E+000,  0.88582425951E+000,  0.99998666824E+000,  0.13331758834E-004,  0.87476464800E+000,  0.12523535200E+000, -0.90194722278E+004,  0.98852039089E+000,  0.98483985962E+003,  0.10000000000E+000
"             A1123",  0.89990000000E+001,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10004097007E+006,  0.54236158953E+002,  0.18003880333E+000,  0.81996119667E+000,  0.10047454628E+000,  0.89952545372E+000,  0.99998635787E+000,  0.13642127291E-004,  0.87541379179E+000,  0.12458620821E+000, -0.90438129669E+004,  0.10037594947E+001,  0.98607480039E+003,  0.10000000000E+000
"             A1124",  0.94880000000E+001,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10004082415E+006,  0.51853344287E+002,  0.18068980073E+000,  0.81931019927E+000,  0.88879845651E-001,  0.91112015435E+000,  0.99998609133E+000,  0.13908667886E-004,  0.87606652624E+000,  0.12393347376E+000, -0.90684299184E+004,  0.10177554529E+001,  0.98721077404E+003,  0.10000000000E+000
"             A1125",  0.99880000000E+001,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10004067561E+006,  0.49589522347E+002,  0.18134841870E+000,  0.81865158130E+000,  0.79012455405E-001,  0.92098754460E+000,  0.99998586162E+000,  0.14138376698E-004,  0.87672328608E+000,  0.12327671392E+000, -0.90933436054E+004,  0.10306591467E+001,  0.98825572997E+003,  0.10000000000E+000
"             A1126",  0.10500000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10004052445E+006,  0.47438751159E+002,  0.18201497665E+000,  0.81798502335E+000,  0.70573091068E-001,  0.92942690893E+000,  0.99998566302E+000,  0.14336983077E-004,  0.87738428575E+000,  0.12261571425E+000, -0.91185666087E+004,  0.10425951620E+001,  0.98921673951E+003,  0.10000000000E+000
"             A1127",  0.11020000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10004037066E+006,  0.45395763840E+002,  0.18268960081E+000,  0.81731039919E+000,  0.63322590153E-001,  0.93667740985E+000,  0.99998549078E+000,  0.14509216508E-004,  0.87804954259E+000,  0.12195045741E+000, -0.91441042275E+004,  0.10536674495E+001,  0.99010018750E+003,  0.10000000000E+000
"             A1128",  0.11550000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10004021420E+006,  0.43455860161E+002,  0.18337220280E+000,  0.81662779720E+000,  0.57068080385E-001,  0.94293191961E+000,  0.99998534100E+000,  0.14659000601E-004,  0.87871886135E+000,  0.12128113865E+000, -0.91699536588E+004,  0.10639631423E+001,  0.99091187247E+003,  0.10000000000E+000
"             A1129",  0.12090000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10004005500E+006,  0.41614859310E+002,  0.18406244155E+000,  0.81593755845E+000,  0.51652869042E-001,  0.94834713096E+000,  0.99998521040E+000,  0.14789602440E-004,  0.87939180308E+000,  0.12060819692E+000, -0.91961025359E+004,  0.10735553801E+001,  0.99165707124E+003,  0.10000000000E+000
"             A1130",  0.12650000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003989298E+006,  0.39869003621E+002,  0.18475970729E+000,  0.81524029271E+000,  0.46948665220E-001,  0.95305133478E+000,  0.99998509624E+000,  0.14903755443E-004,  0.88006767689E+000,  0.11993232311E+000, -0.92225283044E+004,  0.10825058811E+001,  0.99234061677E+003,  0.10000000000E+000
"             A1131",  0.13210000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003972803E+006,  0.38214824453E+002,  0.18546312693E+000,  0.81453687307E+000,  0.42849571901E-001,  0.95715042810E+000,  0.99998499624E+000,  0.15003759649E-004,  0.88074555273E+000,  0.11925444727E+000, -0.92491984004E+004,  0.10908672827E+001,  0.99296698105E+003,  0.10000000000E+000
"             A1132",  0.13790000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003956004E+006,  0.36649177842E+002,  0.18617151170E+000,  0.81382848830E+000,  0.39267860504E-001,  0.96073213950E+000,  0.99998490845E+000,  0.15091552477E-004,  0.88142421902E+000,  0.11857578098E+000, -0.92760682434E+004,  0.10986842941E+001,  0.99354028544E+003,  0.10000000000E+000
"             A1133",  0.14380000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003938886E+006,  0.35169118312E+002,  0.18688338129E+000,  0.81311661871E+000,  0.36130296449E-001,  0.96386970355E+000,  0.99998483122E+000,  0.15168775547E-004,  0.88210221438E+000,  0.11789778562E+000, -0.93030821189E+004,  0.11059954265E+001,  0.99406436899E+003,  0.10000000000E+000
"             A1134",  0.14980000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003921436E+006,  0.33771893433E+002,  0.18759694625E+000,  0.81240305375E+000,  0.33375511895E-001,  0.96662448810E+000,  0.99998476318E+000,  0.15236822581E-004,  0.88277781927E+000,  0.11722218073E+000, -0.93301724821E+004,  0.11128339099E+001,  0.99454280612E+003,  0.10000000000E+000
"             A1135",  0.15600000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003903638E+006,  0.32454892319E+002,  0.18831012536E+000,  0.81168987464E+000,  0.30951821016E-001,  0.96904817898E+000,  0.99998470312E+000,  0.15296881136E-004,  0.88344908051E+000,  0.11655091949E+000, -0.93572605845E+004,  0.11192286840E+001,  0.99497893806E+003,  0.10000000000E+000
"             A1136",  0.16230000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003885478E+006,  0.31215620532E+002,  0.18902056157E+000,  0.81097943843E+000,  0.28815519833E-001,  0.97118448017E+000,  0.99998465003E+000,  0.15349965771E-004,  0.88411383364E+000,  0.11588616636E+000, -0.93842570465E+004,  0.11252051291E+001,  0.99537589189E+003,  0.10000000000E+000
"             A1137",  0.16870000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003866940E+006,  0.30051678459E+002,  0.18972565043E+000,  0.81027434957E+000,  0.26929517786E-001,  0.97307048221E+000,  0.99998460305E+000,  0.15396945428E-004,  0.88476973571E+000,  0.11523026429E+000, -0.94110629098E+004,  0.11307856780E+001,  0.99573659636E+003,  0.10000000000E+000
"             A1138",  0.17520000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003848011E+006,  0.28960671021E+002,  0.19042262281E+000,  0.80957737719E+000,  0.25262122696E-001,  0.97473787730E+000,  0.99998456143E+000,  0.15438568786E-004,  0.88541434654E+000,  0.11458565346E+000, -0.94375727555E+004,  0.11359906695E+001,  0.99606381618E+003,  0.10000000000E+000
