"             ELEM1","             ELEM2","                 X","                 Y","                 Z","              HEAT","              FLOW","            FLOW_G","            FLOW_L"
"                  ","                  ","               (M)","               (M)","               (M)","               (W)","            (KG/S)","            (KG/S)","            (KG/S)"
"TIME [sec]  0.31560000E+08"
"             A1134","             A1135",  0.15286773774E+002,  0.00000000000E+000, -0.22500000000E+001, -0.41599719249E+003, -0.17527481715E-004, -0.28546750367E-006, -0.17242014212E-004
"             A1135","             A1136",  0.15911724028E+002,  0.00000000000E+000, -0.22500000000E+001, -0.35409097072E+003, -0.15062646120E-004, -0.29211579684E-006, -0.14770530323E-004
"             A1136","             A1137",  0.16546675610E+002,  0.00000000000E+000, -0.22500000000E+001, -0.29864764798E+003, -0.12833755737E-004, -0.29808881409E-006, -0.12535666923E-004
"             A1137","             A1138",  0.17191618669E+002,  0.00000000000E+000, -0.22500000000E+001, -0.24950250535E+003, -0.10846381712E-004, -0.30339165768E-006, -0.10542990055E-004
"             A1138","             A1139",  0.17851516213E+002,  0.00000000000E+000, -0.22500000000E+001, -0.20640082811E+003, -0.90986443214E-005, -0.30804312544E-006, -0.87906011960E-005
"             A1139","             A1140",  0.18526462278E+002,  0.00000000000E+000, -0.22500000000E+001, -0.16901021577E+003, -0.75823782898E-005, -0.31207371673E-006, -0.72703045731E-005
"             A1140","             A1141",  0.19216357882E+002,  0.00000000000E+000, -0.22500000000E+001, -0.13693825767E+003, -0.62845490781E-005, -0.31552299295E-006, -0.59690260851E-005
"             A1141","             A1142",  0.19921307074E+002,  0.00000000000E+000, -0.22500000000E+001, -0.10974609338E+003, -0.51884692765E-005, -0.31843741031E-006, -0.48700318662E-005
"             A1142","             A1143",  0.20641205821E+002,  0.00000000000E+000, -0.22500000000E+001, -0.86965853370E+002, -0.42750951685E-005, -0.32086780333E-006, -0.39542273651E-005
"             A1143","             A1144",  0.21376153162E+002,  0.00000000000E+000, -0.22500000000E+001, -0.68115105828E+002, -0.35241003040E-005, -0.32286730030E-006, -0.32012330037E-005
"             A1144","             A1145",  0.22121097258E+002,  0.00000000000E+000, -0.22500000000E+001, -0.52713049284E+002, -0.29149075240E-005, -0.32448916716E-006, -0.25904183569E-005
"             A1145","             A1146",  0.22885944016E+002,  0.00000000000E+000, -0.22500000000E+001, -0.40292037501E+002, -0.24274254668E-005, -0.32578527007E-006, -0.21016401967E-005
"             A1146","             A1147",  0.23670891516E+002,  0.00000000000E+000, -0.22500000000E+001, -0.30408683871E+002, -0.20426707380E-005, -0.32680468922E-006, -0.17158660488E-005
"             A1147","             A1148",  0.24465840778E+002,  0.00000000000E+000, -0.22500000000E+001, -0.22652433610E+002, -0.17432073792E-005, -0.32759269428E-006, -0.14156146850E-005
"             A1148","             A1149",  0.25280682862E+002,  0.00000000000E+000, -0.22500000000E+001, -0.16651436485E+002, -0.15134165383E-005, -0.32819007652E-006, -0.11852264618E-005
"             A1149","             A1150",  0.26115630832E+002,  0.00000000000E+000, -0.22500000000E+001, -0.12075711280E+002, -0.13396149155E-005, -0.32863281882E-006, -0.10109820967E-005
"             A1150","             A1151",  0.26960580658E+002,  0.00000000000E+000, -0.22500000000E+001, -0.86386041254E+001, -0.12100777814E-005, -0.32895197898E-006, -0.88112580242E-006
"             A1151","             A1152",  0.27825423417E+002,  0.00000000000E+000, -0.22500000000E+001, -0.60962330839E+001, -0.11149684560E-005, -0.32917380583E-006, -0.78579465021E-006
"             A1152","             A1153",  0.28710372151E+002,  0.00000000000E+000, -0.22500000000E+001, -0.42451220528E+001, -0.10461934015E-005, -0.32932004868E-006, -0.71687335284E-006
"             A1153","             A1154",  0.29615213896E+002,  0.00000000000E+000, -0.22500000000E+001, -0.29189781318E+001, -0.99722659403E-006, -0.32940835820E-006, -0.66781823583E-006
"             A1154","             A1155",  0.30540161757E+002,  0.00000000000E+000, -0.22500000000E+001, -0.19845481973E+001, -0.96290551633E-006, -0.32945277353E-006, -0.63345274279E-006
"             A1155","             A1156",  0.31480059673E+002,  0.00000000000E+000, -0.22500000000E+001, -0.13372236887E+001, -0.93922617649E-006, -0.32946422897E-006, -0.60976194752E-006
"             A1156","             A1157",  0.32439954726E+002,  0.00000000000E+000, -0.22500000000E+001, -0.89653739622E+000, -0.92314315866E-006, -0.32945106276E-006, -0.59369209590E-006
"             A1157","             A1158",  0.33424799960E+002,  0.00000000000E+000, -0.22500000000E+001, -0.60182189651E+000, -0.91238421786E-006, -0.32941949495E-006, -0.58296472292E-006
"             A1158","             A1159",  0.34429746437E+002,  0.00000000000E+000, -0.22500000000E+001, -0.40828458366E+000, -0.90528762777E-006, -0.32937405751E-006, -0.57591357026E-006
"             A1159","             A1160",  0.35449643195E+002,  0.00000000000E+000, -0.22500000000E+001, -0.28353096052E+000, -0.90066199354E-006, -0.32931796798E-006, -0.57134402556E-006
"             A1160","             A1161",  0.36494490248E+002,  0.00000000000E+000, -0.22500000000E+001, -0.20463552107E+000, -0.89767074815E-006, -0.32925345073E-006, -0.56841729741E-006
"             A1161","             A1162",  0.37564381677E+002,  0.00000000000E+000, -0.22500000000E+001, -0.15569768048E+000, -0.89573770552E-006, -0.32918198595E-006, -0.56655571956E-006
"             A1162","             A1163",  0.38654280563E+002,  0.00000000000E+000, -0.22500000000E+001, -0.12593484693E+000, -0.89447452866E-006, -0.32910451560E-006, -0.56537001306E-006
"             A1163","             A1164",  0.39764176889E+002,  0.00000000000E+000, -0.22500000000E+001, -0.10819293596E+000, -0.89362490510E-006, -0.32902159992E-006, -0.56460330518E-006
"             A1164","             A1165",  0.40899018766E+002,  0.00000000000E+000, -0.22500000000E+001, -0.97828304355E-001, -0.89302314668E-006, -0.32893352753E-006, -0.56408961915E-006
"             A1165","             A1166",  0.42058915245E+002,  0.00000000000E+000, -0.22500000000E+001, -0.91894499592E-001, -0.89256443993E-006, -0.32884041380E-006, -0.56372402614E-006
"             A1166","             A1167",  0.43243757365E+002,  0.00000000000E+000, -0.22500000000E+001, -0.88564178741E-001, -0.89218385115E-006, -0.32874225419E-006, -0.56344159696E-006
"             A1167","             A1168",  0.44453654207E+002,  0.00000000000E+000, -0.22500000000E+001, -0.86729227409E-001, -0.89184192207E-006, -0.32863895894E-006, -0.56320296313E-006
"             A1168","             A1169",  0.45688501744E+002,  0.00000000000E+000, -0.22500000000E+001, -0.85733598446E-001, -0.89151511579E-006, -0.32853038059E-006, -0.56298473520E-006
