"              ELEM","                 X","                 Y","                 Z","              ROCK","              PRES","              TEMP","             SAT_G","             SAT_L","         X_WATER_G","           X_AIR_G","         X_WATER_L","           X_AIR_L","             REL_G","             REL_L","           PCAP_GL","             DEN_G","             DEN_L","               POR"
"                  ","               (M)","               (M)","               (M)","                  ","              (PA)","           (DEC-C)","               (-)","               (-)","               (-)","               (-)","               (-)","               (-)","               (-)","               (-)","              (PA)","         (KG/M**3)","         (KG/M**3)","               (-)"
"TIME [sec]  0.31560000E+08"
"             A11 0",  0.15000000000E+000,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.14572922593E+006,  0.16411221083E+003,  0.10000000000E+001,  0.00000000000E+000,  0.10000000000E+001,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.10000000000E+001,  0.00000000000E+000, -0.50000000000E+009,  0.72998084114E+000,  0.90287091431E+003,  0.10000000000E+000
"             A11 1",  0.45320000000E+000,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.14572923424E+006,  0.11050807674E+003,  0.99743044567E+000,  0.25695543343E-002,  0.10000000000E+001,  0.81803812459E-014,  0.10000000000E+001,  0.12163643528E-018,  0.10000000000E+001,  0.31419469399E-014, -0.33401291387E+008,  0.83977877886E+000,  0.95030201228E+003,  0.10000000000E+000
"             A11 2",  0.76270000000E+000,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.13007074703E+006,  0.10714908766E+003,  0.86859201635E+000,  0.13140798365E+000,  0.10000000000E+001,  0.17651366281E-014,  0.10000000000E+001,  0.23391622170E-019,  0.99999134199E+000,  0.86580059758E-005, -0.14964794672E+006,  0.75505020781E+000,  0.95285358966E+003,  0.10000000000E+000
"             A11 3",  0.10790000000E+001,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.11877068456E+006,  0.10451142289E+003,  0.61574631187E+000,  0.38425368813E+000,  0.10000000000E+001,  0.13546462175E-014,  0.10000000000E+001,  0.16374135519E-019,  0.99809859174E+000,  0.19014082615E-002, -0.37601083991E+005,  0.69350399667E+000,  0.95482330629E+003,  0.10000000000E+000
"             A11 4",  0.14010000000E+001,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10974338701E+006,  0.10225098149E+003,  0.41894551710E+000,  0.58105448290E+000,  0.99999999997E+000,  0.26349407112E-010,  0.10000000000E+001,  0.29402099486E-015,  0.98339371675E+000,  0.16606283253E-001, -0.19984581292E+005,  0.64406721520E+000,  0.95648735109E+003,  0.10000000000E+000
"             A11 5",  0.17310000000E+001,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10204747054E+006,  0.10019901935E+003,  0.22944654027E+000,  0.77055345973E+000,  0.99999735415E+000,  0.26458513544E-005,  0.99999999997E+000,  0.27431679470E-010,  0.91626965665E+000,  0.83730343351E-001, -0.10948055060E+005,  0.60171528336E+000,  0.95797858888E+003,  0.10000000000E+000
"             A11 6",  0.20670000000E+001,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10004350353E+006,  0.92932977125E+002,  0.17303340468E+000,  0.82696659532E+000,  0.69411193597E+000,  0.30588806403E+000,  0.99999650367E+000,  0.34963304920E-005,  0.86815832716E+000,  0.13184167284E+000, -0.87793923331E+004,  0.67653471687E+000,  0.96311892559E+003,  0.10000000000E+000
"             A11 7",  0.24110000000E+001,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10004330269E+006,  0.84927829693E+002,  0.17424951533E+000,  0.82575048467E+000,  0.46085762827E+000,  0.53914237173E+000,  0.99999318386E+000,  0.68161383327E-005,  0.86944890172E+000,  0.13055109828E+000, -0.88252364965E+004,  0.76502868346E+000,  0.96850018765E+003,  0.10000000000E+000
