"              ELEM","                 X","                 Y","                 Z","              ROCK","              PRES","              TEMP","             SAT_G","             SAT_L","         X_WATER_G","           X_AIR_G","         X_WATER_L","           X_AIR_L","             REL_G","             REL_L","           PCAP_GL","             DEN_G","             DEN_L","               POR"
"             A11 8",  0.27610000000E+001,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10004309887E+006,  0.77953705513E+002,  0.17543574522E+000,  0.82456425478E+000,  0.32624920978E+000,  0.67375079022E+000,  0.99999092202E+000,  0.90779824800E-005,  0.87069499521E+000,  0.12930500479E+000, -0.88699763130E+004,  0.83152484717E+000,  0.97293587381E+003,  0.10000000000E+000
"             A11 9",  0.31190000000E+001,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10004288238E+006,  0.71797884424E+002,  0.17660052600E+000,  0.82339947400E+000,  0.24121401509E+000,  0.75878598491E+000,  0.99998933032E+000,  0.10669683843E-004,  0.87190643708E+000,  0.12809356292E+000, -0.89139294972E+004,  0.88328248170E+000,  0.97664585994E+003,  0.10000000000E+000
"             A1110",  0.34850000000E+001,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10004265482E+006,  0.66311878597E+002,  0.17774903670E+000,  0.82225096330E+000,  0.18417252880E+000,  0.81582747120E+000,  0.99998818064E+000,  0.11819360067E-004,  0.87308934004E+000,  0.12691065996E+000, -0.89572914648E+004,  0.92475283025E+000,  0.97978163395E+003,  0.10000000000E+000
"             A1111",  0.38580000000E+001,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10004241797E+006,  0.61387904831E+002,  0.17888423723E+000,  0.82111576277E+000,  0.14423224171E+000,  0.85576775829E+000,  0.99998733214E+000,  0.12667856018E-004,  0.87424733291E+000,  0.12575266709E+000, -0.90001741060E+004,  0.95878900800E+000,  0.98245234405E+003,  0.10000000000E+000
"             A1112",  0.42390000000E+001,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10004217309E+006,  0.56944757851E+002,  0.18000781579E+000,  0.81999218421E+000,  0.11534491947E+000,  0.88465508053E+000,  0.99998669436E+000,  0.13305640141E-004,  0.87538263258E+000,  0.12461736742E+000, -0.90426414045E+004,  0.98728935697E+000,  0.98473976504E+003,  0.10000000000E+000
"             A1113",  0.46280000000E+001,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10004192110E+006,  0.52920307402E+002,  0.18112053803E+000,  0.81887946197E+000,  0.93915612731E-001,  0.90608438727E+000,  0.99998620740E+000,  0.13792603214E-004,  0.87649645826E+000,  0.12350354174E+000, -0.90847225264E+004,  0.10115508229E+001,  0.98670663438E+003,  0.10000000000E+000
"             A1114",  0.50260000000E+001,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10004166266E+006,  0.49265225545E+002,  0.18222278510E+000,  0.81777721490E+000,  0.77688095929E-001,  0.92231190407E+000,  0.99998583045E+000,  0.14169554756E-004,  0.87758960872E+000,  0.12241039128E+000, -0.91264320962E+004,  0.10324862444E+001,  0.98840263446E+003,  0.10000000000E+000
"             A1115",  0.54310000000E+001,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10004139829E+006,  0.45940315732E+002,  0.18331444748E+000,  0.81668555252E+000,  0.65189748598E-001,  0.93481025140E+000,  0.99998553514E+000,  0.14464862156E-004,  0.87866237751E+000,  0.12133762249E+000, -0.91677661373E+004,  0.10507482728E+001,  0.98986754921E+003,  0.10000000000E+000
"             A1116",  0.58460000000E+001,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10004112842E+006,  0.42913287693E+002,  0.18439513180E+000,  0.81560486820E+000,  0.55424490608E-001,  0.94457550939E+000,  0.99998530131E+000,  0.14698690659E-004,  0.87971477609E+000,  0.12028522391E+000, -0.92087098559E+004,  0.10668157762E+001,  0.99113406305E+003,  0.10000000000E+000
"             A1117",  0.62680000000E+001,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10004085338E+006,  0.40157313789E+002,  0.18546397456E+000,  0.81453602544E+000,  0.47700686294E-001,  0.95229931371E+000,  0.99998511440E+000,  0.14885601714E-004,  0.88074636719E+000,  0.11925363281E+000, -0.92492305449E+004,  0.10810454040E+001,  0.99222931280E+003,  0.10000000000E+000
"             A1118",  0.67000000000E+001,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10004057339E+006,  0.37649405817E+002,  0.18651962300E+000,  0.81348037700E+000,  0.41526129087E-001,  0.95847387091E+000,  0.99998496371E+000,  0.15036290316E-004,  0.88175626589E+000,  0.11824373411E+000, -0.92892767985E+004,  0.10937090702E+001,  0.99317624047E+003,  0.10000000000E+000
"             A1119",  0.71410000000E+001,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10004028860E+006,  0.35369771503E+002,  0.18755997895E+000,  0.81244002105E+000,  0.36544242949E-001,  0.96345575705E+000,  0.99998484130E+000,  0.15158703043E-004,  0.88274291658E+000,  0.11725708342E+000, -0.93287687229E+004,  0.11050167405E+001,  0.99399435194E+003,  0.10000000000E+000
"             A1120",  0.75910000000E+001,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003999907E+006,  0.33301204994E+002,  0.18858202011E+000,  0.81141797989E+000,  0.32492492726E-001,  0.96750750727E+000,  0.99998474119E+000,  0.15258812165E-004,  0.88370395305E+000,  0.11629604695E+000, -0.93675910506E+004,  0.11151329686E+001,  0.99470034753E+003,  0.10000000000E+000
"             A1121",  0.80510000000E+001,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003970481E+006,  0.31428186354E+002,  0.18958191890E+000,  0.81041808110E+000,  0.29174104955E-001,  0.97082589505E+000,  0.99998465883E+000,  0.15341171112E-004,  0.88463634059E+000,  0.11536365941E+000, -0.94055975369E+004,  0.11241906921E+001,  0.99530874293E+003,  0.10000000000E+000
"             A1122",  0.85200000000E+001,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003940573E+006,  0.29736588151E+002,  0.19055506560E+000,  0.80944493440E+000,  0.26439816194E-001,  0.97356018381E+000,  0.99998459072E+000,  0.15409282832E-004,  0.88553642086E+000,  0.11446357914E+000, -0.94426117409E+004,  0.11322992246E+001,  0.99583219109E+003,  0.10000000000E+000
"             A1123",  0.89990000000E+001,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003910179E+006,  0.28213602542E+002,  0.19149609575E+000,  0.80850390425E+000,  0.24175391979E-001,  0.97582460802E+000,  0.99998453414E+000,  0.15465859365E-004,  0.88639995574E+000,  0.11360004426E+000, -0.94784279744E+004,  0.11395493346E+001,  0.99628169476E+003,  0.10000000000E+000
"             A1124",  0.94880000000E+001,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003879290E+006,  0.26847162539E+002,  0.19239934026E+000,  0.80760065974E+000,  0.22292030218E-001,  0.97770796978E+000,  0.99998448697E+000,  0.15513029949E-004,  0.88722254901E+000,  0.11277745099E+000, -0.95128283749E+004,  0.11460194173E+001,  0.99666693563E+003,  0.10000000000E+000
"             A1125",  0.99880000000E+001,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003847901E+006,  0.25625897957E+002,  0.19325908720E+000,  0.80674091280E+000,  0.20720155378E-001,  0.97927984462E+000,  0.99998444752E+000,  0.15552476701E-004,  0.88799987587E+000,  0.11200012413E+000, -0.95455928814E+004,  0.11517781544E+001,  0.99699640618E+003,  0.10000000000E+000
"             A1126",  0.10500000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003816017E+006,  0.24539055253E+002,  0.19406990146E+000,  0.80593009854E+000,  0.19404797803E-001,  0.98059520220E+000,  0.99998441446E+000,  0.15585537968E-004,  0.88872795160E+000,  0.11127204840E+000, -0.95765114697E+004,  0.11568866915E+001,  0.99727754137E+003,  0.10000000000E+000
"             A1127",  0.11020000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003783645E+006,  0.23576340432E+002,  0.19482701621E+000,  0.80517298379E+000,  0.18302070182E-001,  0.98169792982E+000,  0.99998438671E+000,  0.15613288762E-004,  0.88940345174E+000,  0.11059654826E+000, -0.96053991900E+004,  0.11614006916E+001,  0.99751685843E+003,  0.10000000000E+000
"             A1128",  0.11550000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003750804E+006,  0.22727856804E+002,  0.19552663187E+000,  0.80447336813E+000,  0.17376623365E-001,  0.98262337663E+000,  0.99998436340E+000,  0.15636599486E-004,  0.89002393883E+000,  0.10997606117E+000, -0.96321077278E+004,  0.11653715838E+001,  0.99772006114E+003,  0.10000000000E+000
"             A1129",  0.12090000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003717523E+006,  0.21984089949E+002,  0.19616611879E+000,  0.80383388121E+000,  0.16599760293E-001,  0.98340023971E+000,  0.99998434382E+000,  0.15656179957E-004,  0.89058799982E+000,  0.10941200018E+000, -0.96565333205E+004,  0.11688473311E+001,  0.99789212718E+003,  0.10000000000E+000
"             A1130",  0.12650000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003683838E+006,  0.21335890594E+002,  0.19674414164E+000,  0.80325585836E+000,  0.15947987748E-001,  0.98405201225E+000,  0.99998432739E+000,  0.15672613578E-004,  0.89109531589E+000,  0.10890468411E+000, -0.96786216900E+004,  0.11718730159E+001,  0.99803739202E+003,  0.10000000000E+000
"             A1131",  0.13210000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003649794E+006,  0.20774443265E+002,  0.19726071010E+000,  0.80273928990E+000,  0.15401884857E-001,  0.98459811514E+000,  0.99998431362E+000,  0.15686384311E-004,  0.89154667326E+000,  0.10845332674E+000, -0.96983701451E+004,  0.11744913499E+001,  0.99815963136E+003,  0.10000000000E+000
"             A1132",  0.13790000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003615442E+006,  0.20291310796E+002,  0.19771708418E+000,  0.80228291582E+000,  0.14945293967E-001,  0.98505470603E+000,  0.99998430210E+000,  0.15697896035E-004,  0.89194385535E+000,  0.10805614465E+000, -0.97158240948E+004,  0.11767427255E+001,  0.99826212219E+003,  0.10000000000E+000
"             A1133",  0.14380000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003580839E+006,  0.19878431787E+002,  0.19811565486E+000,  0.80188434514E+000,  0.14564649717E-001,  0.98543535028E+000,  0.99998429251E+000,  0.15707488748E-004,  0.89228952414E+000,  0.10771047586E+000, -0.97310725757E+004,  0.11786654093E+001,  0.99834770976E+003,  0.10000000000E+000
"             A1134",  0.14980000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003546046E+006,  0.19528152788E+002,  0.19845974513E+000,  0.80154025487E+000,  0.14248485659E-001,  0.98575151434E+000,  0.99998428455E+000,  0.15715450526E-004,  0.89258704192E+000,  0.10741295808E+000, -0.97442406897E+004,  0.11802955188E+001,  0.99841886153E+003,  0.10000000000E+000
"             A1135",  0.15600000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003511123E+006,  0.19233253060E+002,  0.19875339058E+000,  0.80124660942E+000,  0.13987044733E-001,  0.98601295527E+000,  0.99998427797E+000,  0.15722027007E-004,  0.89284028395E+000,  0.10715971605E+000, -0.97554812194E+004,  0.11816669933E+001,  0.99847771693E+003,  0.10000000000E+000
"             A1136",  0.16230000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003476133E+006,  0.18986969077E+002,  0.19900111125E+000,  0.80099888875E+000,  0.13771977301E-001,  0.98622802270E+000,  0.99998427257E+000,  0.15727428776E-004,  0.89305344979E+000,  0.10694655021E+000, -0.97649658762E+004,  0.11828115379E+001,  0.99852613088E+003,  0.10000000000E+000
"             A1137",  0.16870000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003441136E+006,  0.18783018918E+002,  0.19920768999E+000,  0.80079231001E+000,  0.13596108692E-001,  0.98640389131E+000,  0.99998426816E+000,  0.15731837061E-004,  0.89323088427E+000,  0.10676911573E+000, -0.97728767746E+004,  0.11837585473E+001,  0.99856571088E+003,  0.10000000000E+000
"             A1138",  0.17520000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003406187E+006,  0.18615606440E+002,  0.19937798864E+000,  0.80062201136E+000,  0.13453245031E-001,  0.98654675497E+000,  0.99998426459E+000,  0.15735408522E-004,  0.89337693298E+000,  0.10662306702E+000, -0.97793993435E+004,  0.11845351119E+001,  0.99859785169E+003,  0.10000000000E+000
"             A1139",  0.18190000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003371339E+006,  0.18479446231E+002,  0.19951676747E+000,  0.80048323253E+000,  0.13338041679E-001,  0.98666195832E+000,  0.99998426172E+000,  0.15738278484E-004,  0.89349580065E+000,  0.10650419935E+000, -0.97847153573E+004,  0.11851659160E+001,  0.99862375990E+003,  0.10000000000E+000
"             A1140",  0.18870000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003336640E+006,  0.18369762711E+002,  0.19962855791E+000,  0.80037144209E+000,  0.13245885061E-001,  0.98675411494E+000,  0.99998425944E+000,  0.15740563865E-004,  0.89359145455E+000,  0.10640854545E+000, -0.97889980064E+004,  0.11856732524E+001,  0.99864447793E+003,  0.10000000000E+000
"             A1141",  0.19570000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003302131E+006,  0.18282288005E+002,  0.19971756387E+000,  0.80028243613E+000,  0.13172802151E-001,  0.98682719785E+000,  0.99998425763E+000,  0.15742365425E-004,  0.89366755067E+000,  0.10633244933E+000, -0.97924080747E+004,  0.11860770377E+001,  0.99866090329E+003,  0.10000000000E+000
"             A1142",  0.20280000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003267849E+006,  0.18213246600E+002,  0.19978760189E+000,  0.80021239811E+000,  0.13115381510E-001,  0.98688461849E+000,  0.99998425623E+000,  0.15743769726E-004,  0.89372739134E+000,  0.10627260866E+000, -0.97950916049E+004,  0.11863948875E+001,  0.99867380604E+003,  0.10000000000E+000
"             A1143",  0.21010000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003233823E+006,  0.18159340867E+002,  0.19984206224E+000,  0.80015793776E+000,  0.13070712740E-001,  0.98692928726E+000,  0.99998425515E+000,  0.15744850652E-004,  0.89377389887E+000,  0.10622610113E+000, -0.97971783795E+004,  0.11866421855E+001,  0.99868384247E+003,  0.10000000000E+000
"             A1144",  0.21750000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003200079E+006,  0.18117722945E+002,  0.19988390186E+000,  0.80011609814E+000,  0.13036328245E-001,  0.98696367175E+000,  0.99998425433E+000,  0.15745670863E-004,  0.89380961469E+000,  0.10619038531E+000, -0.97987816260E+004,  0.11868322164E+001,  0.99869156844E+003,  0.10000000000E+000
"             A1145",  0.22500000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003166634E+006,  0.18085963254E+002,  0.19991565461E+000,  0.80008434539E+000,  0.13010152558E-001,  0.98698984744E+000,  0.99998425372E+000,  0.15746283073E-004,  0.89383671188E+000,  0.10616328812E+000, -0.97999983919E+004,  0.11869763126E+001,  0.99869745102E+003,  0.10000000000E+000
"             A1146",  0.23280000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003133504E+006,  0.18062016608E+002,  0.19993945400E+000,  0.80006054600E+000,  0.12990457363E-001,  0.98700954264E+000,  0.99998425327E+000,  0.15746731186E-004,  0.89385701724E+000,  0.10614298276E+000, -0.98009104065E+004,  0.11870840131E+001,  0.99870187881E+003,  0.10000000000E+000
"             A1147",  0.24070000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003100696E+006,  0.18044184948E+002,  0.19995706644E+000,  0.80004293356E+000,  0.12975819296E-001,  0.98702418070E+000,  0.99998425295E+000,  0.15747051360E-004,  0.89387204144E+000,  0.10612795856E+000, -0.98015853428E+004,  0.11871632375E+001,  0.99870517163E+003,  0.10000000000E+000
"             A1148",  0.24870000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003068216E+006,  0.18031076582E+002,  0.19996993215E+000,  0.80003006785E+000,  0.12965078833E-001,  0.98703492117E+000,  0.99998425273E+000,  0.15747273050E-004,  0.89388301511E+000,  0.10611698489E+000, -0.98020783835E+004,  0.11872204762E+001,  0.99870758989E+003,  0.10000000000E+000
"             A1149",  0.25700000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003036067E+006,  0.18021568004E+002,  0.19997920601E+000,  0.80002079399E+000,  0.12957304027E-001,  0.98704269597E+000,  0.99998425258E+000,  0.15747419929E-004,  0.89389092444E+000,  0.10610907556E+000, -0.98024337804E+004,  0.11872609683E+001,  0.99870934279E+003,  0.10000000000E+000
"             A1150",  0.26540000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10003004246E+006,  0.18014764672E+002,  0.19998580036E+000,  0.80001419964E+000,  0.12951755237E-001,  0.98704824476E+000,  0.99998425249E+000,  0.15747510781E-004,  0.89389654814E+000,  0.10610345186E+000, -0.98026864932E+004,  0.11872888852E+001,  0.99871059631E+003,  0.10000000000E+000
"             A1151",  0.27390000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10002972749E+006,  0.18009965405E+002,  0.19999042427E+000,  0.80000957573E+000,  0.12947854029E-001,  0.98705214597E+000,  0.99998425244E+000,  0.15747560293E-004,  0.89390049127E+000,  0.10609950873E+000, -0.98028636947E+004,  0.11873074960E+001,  0.99871148021E+003,  0.10000000000E+000
"             A1152",  0.28270000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10002941572E+006,  0.18006628940E+002,  0.19999362034E+000,  0.80000637966E+000,  0.12945154613E-001,  0.98705484539E+000,  0.99998425242E+000,  0.15747579781E-004,  0.89390321669E+000,  0.10609678331E+000, -0.98029861776E+004,  0.11873193240E+001,  0.99871209451E+003,  0.10000000000E+000
"             A1153",  0.29160000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10002910708E+006,  0.18004343998E+002,  0.19999579723E+000,  0.80000420277E+000,  0.12943318639E-001,  0.98705668136E+000,  0.99998425242E+000,  0.15747577829E-004,  0.89390507297E+000,  0.10609492703E+000, -0.98030696027E+004,  0.11873262862E+001,  0.99871251509E+003,  0.10000000000E+000
"             A1154",  0.30080000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10002880149E+006,  0.18002803181E+002,  0.19999725775E+000,  0.80000274225E+000,  0.12942093416E-001,  0.98705790658E+000,  0.99998425244E+000,  0.15747560841E-004,  0.89390631837E+000,  0.10609368163E+000, -0.98031255744E+004,  0.11873298150E+001,  0.99871279862E+003,  0.10000000000E+000
"             A1155",  0.31010000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10002849886E+006,  0.18001780521E+002,  0.19999822264E+000,  0.80000177736E+000,  0.12941293290E-001,  0.98705870671E+000,  0.99998425247E+000,  0.15747533522E-004,  0.89390714114E+000,  0.10609285886E+000, -0.98031625522E+004,  0.11873309632E+001,  0.99871298674E+003,  0.10000000000E+000
"             A1156",  0.31960000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10002819910E+006,  0.18001112764E+002,  0.19999885012E+000,  0.80000114988E+000,  0.12940784182E-001,  0.98705921582E+000,  0.99998425250E+000,  0.15747499262E-004,  0.89390767619E+000,  0.10609232381E+000, -0.98031865990E+004,  0.11873304908E+001,  0.99871310952E+003,  0.10000000000E+000
"             A1157",  0.32930000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10002790213E+006,  0.18000683995E+002,  0.19999925167E+000,  0.80000074833E+000,  0.12940470915E-001,  0.98705952909E+000,  0.99998425254E+000,  0.15747460467E-004,  0.89390801858E+000,  0.10609198142E+000, -0.98032019877E+004,  0.11873289374E+001,  0.99871318831E+003,  0.10000000000E+000
"             A1158",  0.33930000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10002760785E+006,  0.18000413368E+002,  0.19999950451E+000,  0.80000049549E+000,  0.12940287124E-001,  0.98705971288E+000,  0.99998425258E+000,  0.15747418806E-004,  0.89390823418E+000,  0.10609176582E+000, -0.98032116774E+004,  0.11873266788E+001,  0.99871323799E+003,  0.10000000000E+000
"             A1159",  0.34940000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10002731617E+006,  0.18000245541E+002,  0.19999966115E+000,  0.80000033885E+000,  0.12940187383E-001,  0.98705981262E+000,  0.99998425262E+000,  0.15747375420E-004,  0.89390836775E+000,  0.10609163225E+000, -0.98032176805E+004,  0.11873239720E+001,  0.99871326875E+003,  0.10000000000E+000
"             A1160",  0.35970000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10002702700E+006,  0.18000143322E+002,  0.19999975668E+000,  0.80000024332E+000,  0.12940141174E-001,  0.98705985883E+000,  0.99998425267E+000,  0.15747331069E-004,  0.89390844920E+000,  0.10609155080E+000, -0.98032213414E+004,  0.11873209892E+001,  0.99871328743E+003,  0.10000000000E+000
"             A1161",  0.37030000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10002674027E+006,  0.18000082208E+002,  0.19999981407E+000,  0.80000018593E+000,  0.12940128389E-001,  0.98705987161E+000,  0.99998425271E+000,  0.15747286254E-004,  0.89390849814E+000,  0.10609150186E+000, -0.98032235408E+004,  0.11873178441E+001,  0.99871329855E+003,  0.10000000000E+000
"             A1162",  0.38110000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10002645590E+006,  0.18000046352E+002,  0.19999984812E+000,  0.80000015188E+000,  0.12940136030E-001,  0.98705986397E+000,  0.99998425276E+000,  0.15747241291E-004,  0.89390852717E+000,  0.10609147283E+000, -0.98032248456E+004,  0.11873146093E+001,  0.99871330502E+003,  0.10000000000E+000
"             A1163",  0.39210000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10002617381E+006,  0.18000025716E+002,  0.19999986815E+000,  0.80000013185E+000,  0.12940155871E-001,  0.98705984413E+000,  0.99998425280E+000,  0.15747196376E-004,  0.89390854425E+000,  0.10609145575E+000, -0.98032256131E+004,  0.11873113308E+001,  0.99871330869E+003,  0.10000000000E+000
"             A1164",  0.40330000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10002589390E+006,  0.18000014071E+002,  0.19999987991E+000,  0.80000012009E+000,  0.12940182807E-001,  0.98705981719E+000,  0.99998425285E+000,  0.15747151625E-004,  0.89390855428E+000,  0.10609144572E+000, -0.98032260640E+004,  0.11873080365E+001,  0.99871331071E+003,  0.10000000000E+000
"             A1165",  0.41480000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10002561613E+006,  0.18000007631E+002,  0.19999988691E+000,  0.80000011309E+000,  0.12940213736E-001,  0.98705978626E+000,  0.99998425289E+000,  0.15747107110E-004,  0.89390856025E+000,  0.10609143975E+000, -0.98032263321E+004,  0.11873047437E+001,  0.99871331176E+003,  0.10000000000E+000
"             A1166",  0.42650000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10002534041E+006,  0.18000004140E+002,  0.19999989121E+000,  0.80000010879E+000,  0.12940246821E-001,  0.98705975318E+000,  0.99998425294E+000,  0.15747062861E-004,  0.89390856391E+000,  0.10609143609E+000, -0.98032264968E+004,  0.11873014614E+001,  0.99871331228E+003,  0.10000000000E+000
"             A1167",  0.43850000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10002506668E+006,  0.18000002287E+002,  0.19999989401E+000,  0.80000010599E+000,  0.12940280989E-001,  0.98705971901E+000,  0.99998425298E+000,  0.15747018900E-004,  0.89390856630E+000,  0.10609143370E+000, -0.98032266041E+004,  0.11872981954E+001,  0.99871331250E+003,  0.10000000000E+000
"             A1168",  0.45070000000E+002,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10002479488E+006,  0.18000001323E+002,  0.19999989599E+000,  0.80000010401E+000,  0.12940315636E-001,  0.98705968436E+000,  0.99998425302E+000,  0.15746975230E-004,  0.89390856799E+000,  0.10609143201E+000, -0.98032266802E+004,  0.11872949484E+001,  0.99871331255E+003,  0.10000000000E+000
